# sma[pix]	I	I_err
181.00 -1.09398886e-03  8.58574259e-04
181.50 -1.31755119e-03  1.12702448e-03
182.00 -9.38935489e-04  7.96839608e-04
182.50  4.47422879e-04  1.09828403e-03
183.00  7.94468331e-04  1.22209497e-03
183.50 -2.81191702e-04  7.08674507e-04
184.00 -1.01971908e-03  5.22872592e-04
184.50 -9.92713006e-04  6.31934075e-04
185.00 -4.59327418e-04  8.10266222e-04
185.50  2.96490051e-04  6.12913520e-04
186.00  6.53551383e-04  4.31288398e-04
186.50  1.27717523e-03  4.61831482e-04
